from_person,to_person
P475,P3591
P3541,P1712
P4555,P4488
P556,P4524
P902,P3162
P3824,P2956
P991,P2418
P4024,P4667
P1814,P2901
P3900,P3390
P3085,P4183
P2642,P2900
P3965,P2346
P2941,P2710
P4783,P4693
P4305,P509
P3035,P4194
P4009,P4836
P4739,P2034
P2306,P1652
P1309,P1261
P633,P4327
P16,P294
P1173,P1405
P1352,P4590
P162,P3529
P3232,P1282
P2198,P1722
P1633,P1043
P738,P2412
P4345,P1449
P1014,P1195
P3883,P3182
P2160,P2058
P4287,P3151
P2897,P2414
P2882,P4710
P2569,P3359
P4212,P2103
P4236,P241
P3907,P901
P3150,P1306
P519,P559
P2244,P2322
P2001,P2878
P1881,P600
P4386,P3811
P3411,P3472
P2911,P1303
P3765,P1182
P4513,P3315
P3685,P4826
P3166,P2032
P1709,P3049
P2455,P3796
P2434,P3035
P1250,P3804
P801,P820
P4294,P1707
P2631,P801
P3075,P1961
P4871,P2582
P4276,P1859
P4299,P2308
P3848,P3303
P4898,P4409
P520,P1151
P3514,P750
P3916,P442
P886,P1644
P1211,P742
P2393,P2438
P4894,P3829
P4541,P2356
P1907,P338
P3765,P42
P2553,P3849
P2937,P2227
P3486,P4726
P1468,P1773
P3990,P1900
P3738,P1214
P3165,P1524
P631,P3679
P1627,P1254
P630,P3968
P2967,P2903
P1547,P988
P1367,P4540
P4909,P558
P518,P1815
P962,P1101
P3686,P3724
P3253,P2840
P191,P3285
P2752,P1200
P2391,P638
P1139,P4657
P2998,P1572
P2472,P4552
P2377,P4434
P2313,P1307
P4469,P2420
P3323,P1907
P1442,P4245
P1825,P4217
P4605,P4221
P2652,P1199
P3330,P4977
P2979,P1865
P1953,P3134
P1205,P3877
P4692,P116
P3442,P3591
P4192,P2499
P404,P4926
P2189,P4524
P2542,P3069
P2071,P4566
P4127,P3071
P3250,P3000
P2455,P1354
P2519,P620
P2511,P2802
P2791,P4077
P4150,P4513
P2365,P4615
P365,P498
P3559,P540
P507,P1846
P1279,P580
P1392,P3773
P1736,P1125
P1421,P4192
P2520,P3788
P4680,P2145
P427,P2312
P2911,P3919
P4028,P1062
P3798,P4835
P3403,P1233
P3861,P4320
P4743,P2287
P4312,P1276
P4424,P3375
P4017,P4404
P4691,P833
P181,P3335
P1184,P464
P3711,P4051
P4201,P169
P83,P3849
P2916,P3373
P553,P2007
P3543,P1756
P4314,P4574
P228,P2648
P1714,P191
P3585,P4334
P3713,P4185
P3476,P4538
P4229,P2344
P2404,P4475
P4443,P554
P228,P2784
P3174,P3003
P4413,P2724
P222,P3601
P936,P1134
P2912,P1049
P3758,P4247
P1580,P2686
P4516,P2748
P109,P4680
P560,P4546
P2087,P1335
P1975,P2700
P1788,P559
P4679,P25
P4260,P1123
P3529,P2243
P2999,P931
P4745,P3984
P815,P634
P2187,P1491
P2714,P1591
P2685,P1601
P1756,P3638
P3146,P2678
P4503,P913
P3293,P4148
P3454,P2921
P4958,P1573
P4032,P1142
P1258,P2517
P3750,P4836
P2395,P2436
P3215,P4343
P525,P831
P4664,P2413
P1952,P1384
P1865,P4401
P3075,P532
P1854,P1278
P4048,P1838
P1844,P3655
P3683,P2396
P3218,P1727
P2139,P1645
P997,P57
P3871,P1803
P3334,P1479
P3292,P2019
P3131,P2799
P2904,P706
P1251,P2185
P459,P4857
P4017,P2592
P1061,P3756
P4904,P4657
P2305,P3925
P2757,P945
P3147,P837
P2101,P1312
P434,P1987
P1654,P517
P3219,P2272
P2256,P1894
P526,P995
P4374,P2084
P3469,P3132
P3431,P518
P4447,P2097
P491,P621
P351,P4075
P4374,P587
P3114,P507
P613,P624
P697,P663
P2424,P3069
P178,P1827
P4233,P1876
P224,P4036
P1998,P2664
P3677,P2708
P4055,P2091
P4587,P3397
P3327,P3558
P4904,P2214
P4227,P2021
P48,P799
P1162,P1824
P1539,P1191
P3258,P517
P4092,P1690
P1568,P3076
P1146,P3320
P3445,P2617
P1847,P4059
P912,P1112
P4065,P2973
P2834,P2031
P3996,P2163
P610,P597
P2031,P934
P3539,P2741
P235,P4709
P2866,P3131
P1554,P2342
P4120,P1480
P4976,P4831
P1407,P1285
P995,P4264
P1905,P1833
P3423,P2156
P449,P1991
P2318,P2508
P4754,P7
P3417,P4492
P4613,P4469
P1561,P1331
P873,P281
P3063,P1019
P2601,P1365
P579,P4713
P2188,P3250
P1514,P1932
P4362,P4960
P3311,P4862
P2752,P1711
P3980,P4452
P4920,P3525
P2605,P4306
P2529,P1966
P638,P204
P2397,P1426
P4377,P4830
P2174,P73
P4162,P1212
P1043,P4608
P2128,P3034
P1341,P260
P399,P4501
P2161,P3848
P4217,P3677
P334,P1458
P4978,P3123
P1861,P904
P1264,P1966
P4512,P1171
P4122,P615
P4115,P676
P3479,P443
P940,P341
P4146,P148
P2333,P2413
P4193,P1786
P1034,P184
P14,P4649
P857,P3492
P1901,P2830
P1633,P3292
P612,P4498
P1911,P3979
P3273,P1426
P2167,P2088
P417,P1353
P1634,P41
P1515,P566
P2085,P1398
P855,P2529
P1666,P2282
P526,P3552
P4494,P2670
P2292,P4901
P3271,P3853
P4748,P3438
P403,P2670
P632,P4278
P2072,P176
P2735,P3847
P1403,P3691
P2964,P4667
P3800,P4831
P3337,P3228
P832,P1837
P1400,P4131
P2515,P1937
P1011,P3764
P671,P4676
P4393,P89
P2418,P1800
P3134,P4172
P159,P3545
P453,P591
P4641,P2927
P3581,P1478
P3878,P2425
P3386,P2455
P4670,P2746
P1563,P3815
P3399,P3537
P3225,P14
P4434,P3784
P4345,P1147
P2095,P3135
P1978,P2440
P1563,P1735
P43,P3015
P681,P1488
P478,P274
P693,P4202
P883,P4537
P125,P873
P1283,P1467
P1726,P600
P629,P2595
P66,P3948
P8,P2572
P3994,P1391
P347,P2757
P4060,P1861
P3493,P3495
P4485,P3615
P4895,P1485
P907,P4712
P3707,P1408
P3826,P3389
P3961,P2012
P3222,P2367
P4774,P1417
P1577,P4450
P283,P1168
P3484,P4769
P2466,P1827
P3718,P4949
P4853,P4841
P4460,P3179
P3207,P2416
P3091,P3709
P922,P1573
P89,P148
P4105,P2828
P4678,P4828
P3210,P3050
P3604,P2052
P3539,P4661
P4848,P3102
P1002,P2210
P1137,P3514
P1421,P4912
P4084,P3344
P4838,P4509
P4776,P3186
P2637,P404
P670,P1048
P198,P733
P1620,P2874
P809,P3202
P3099,P4048
P361,P4374
P1468,P4668
P3377,P345
P2969,P2771
P3216,P2472
P3032,P482
P205,P2483
P4329,P896
P1356,P2203
P713,P2874
P4035,P3297
P4336,P2814
P2502,P540
P1564,P2187
P3794,P2763
P3122,P4755
P2917,P34
P4125,P788
P4392,P4589
P3259,P1808
P1895,P1438
P437,P96
P1332,P1267
P2354,P4436
P1621,P2054
P1726,P432
P1466,P2971
P2209,P1810
P725,P4751
P2653,P2735
P4366,P1123
P1095,P1788
P4072,P4389
P775,P229
P3808,P4805
P3264,P914
P4774,P4728
P4481,P4934
P3699,P2357
P106,P4853
P3690,P1780
P3584,P3520
P4044,P1253
P974,P3482
P4910,P2968
P2966,P4696
P2426,P389
P918,P2921
P1809,P1126
P522,P4992
P1137,P952
P4530,P3552
P3004,P2794
P3327,P991
P176,P3292
P1316,P1816
P1401,P3010
P712,P990
P4984,P3154
P4925,P4389
P168,P1731
P1549,P2547
P1131,P4564
P3088,P3295
P1751,P4859
P320,P1436
P2494,P1171
P3119,P667
P480,P4337
P4845,P1146
P2996,P3887
P844,P1813
P2236,P4366
P4516,P559
P115,P357
P1701,P2842
P3345,P2664
P417,P522
P2931,P3528
P2249,P537
P4261,P2919
P2940,P1166
P873,P4952
P3541,P2343
P2388,P1845
P37,P2891
P1223,P1637
P308,P597
P2282,P2490
P269,P1938
P3443,P3390
P2851,P2427
P4491,P1313
P3187,P937
P3158,P4619
P1192,P27
P2394,P4472
P2037,P2034
P1214,P2400
P1184,P425
P618,P835
P2652,P3403
P3692,P3119
P4421,P1977
P1274,P4417
P1955,P2093
P4224,P2611
P2722,P1685
P428,P4627
P585,P1937
P2570,P3706
P492,P2311
P4364,P4427
P4368,P4576
P601,P1820
P2371,P2611
P3880,P3905
P4907,P4976
P1463,P356
P3678,P1893
P4356,P3205
P4881,P2917
P4498,P3450
P3337,P4133
P2537,P2842
P2751,P4928
P3019,P2286
P3746,P260
P2999,P3612
P1091,P3589
P4655,P3439
P2983,P2919
P1039,P1630
P2090,P4764
P646,P4450
P3852,P4489
P3251,P1936
P2940,P4454
P2728,P2481
P4214,P1574
P492,P3958
P1020,P753
P1357,P1871
P3682,P3345
P395,P4097
P2739,P3796
P3186,P1876
P1523,P664
P2832,P1702
P1261,P1089
P3092,P3456
P3572,P2974
P4422,P1266
P4803,P1422
P2779,P3027
P1173,P3600
P1384,P1714
P3523,P927
P4078,P632
P4177,P4173
P1262,P1832
P3765,P2200
P120,P1299
P3004,P1083
P1959,P2062
P2822,P423
P2858,P1061
P4610,P4230
P4514,P1257
P3638,P1391
P2680,P4167
P4390,P4255
P3637,P2415
P3450,P1052
P1149,P2737
P912,P4461
P2713,P4472
P3155,P4965
P3976,P3795
P1153,P1406
P2926,P1165
P695,P3991
P3228,P3267
P3884,P3082
P975,P3286
P4698,P3915
P3066,P4723
P3914,P1941
P773,P2269
P4208,P1616
P4405,P293
P853,P1742
P4704,P396
P1394,P3041
P3217,P3278
P2514,P1419
P2506,P1275
P2859,P4300
P4465,P267
P2092,P2143
P3798,P1450
P106,P1851
P3627,P273
P1943,P3521
P4073,P4365
P3026,P4731
P2178,P3125
P1704,P4044
P523,P2810
P4469,P3199
P4461,P2119
P3030,P4456
P4947,P4556
P4571,P3579
P3107,P2102
P2509,P2278
P1013,P1822
P447,P741
P1206,P3110
P3819,P1154
P4537,P4005
P4425,P751
P1196,P25
P3735,P89
P4689,P2447
P373,P1908
P1641,P943
P3933,P2740
P3395,P4108
P4590,P1128
P2329,P4950
P2753,P3399
P3183,P598
P810,P2360
P4971,P3710
P208,P3753
P1677,P4167
P4173,P2722
P1800,P1643
P4941,P3508
P761,P1167
P115,P2102
P39,P3468
P606,P2531
P2501,P1151
P4270,P4005
P76,P3653
P3291,P3972
P499,P3285
P4671,P2254
P279,P2290
P1033,P54
P4997,P4046
P3579,P194
P3194,P2382
P903,P3826
P2478,P2014
P2242,P3844
P2397,P4390
P818,P1687
P2378,P125
P2560,P3708
P1432,P2371
P4901,P3538
P172,P1047
P1986,P984
P3553,P1357
P4709,P2921
P1651,P994
P4574,P1816
P4108,P773
P3707,P4009
P3210,P2435
P1675,P882
P3866,P307
P4905,P521
P635,P4622
P946,P3378
P286,P3709
P705,P1523
P420,P2261
P2215,P4534
P1588,P4181
P2503,P2973
P1105,P3494
P4937,P1953
P977,P666
P2974,P3236
P2424,P4065
P25,P429
P1713,P2900
P4956,P1371
P2842,P592
P1237,P2921
P530,P248
P3855,P1585
P4544,P1121
P2594,P2986
P2518,P3512
P3752,P3570
P1324,P1696
P1633,P3383
P2075,P4929
P4698,P100
P111,P381
P320,P3453
P37,P4648
P2481,P3264
P377,P635
P4299,P4425
P2548,P4177
P616,P591
P3419,P1732
P1104,P3250
P4907,P1812
P3454,P619
P3540,P1682
P1159,P53
P2472,P4934
P2759,P3330
P3625,P4188
P1542,P1412
P1664,P2035
P3648,P543
P2136,P4511
P3434,P2343
P2956,P2267
P1707,P3407
P286,P334
P4823,P1346
P2136,P595
P251,P4925
P3258,P297
P4673,P2054
P3930,P500
P4319,P1239
P2938,P4742
P1144,P925
P4350,P584
P4845,P2864
P4419,P1530
P3854,P3003
P1944,P173
P1499,P4458
P2039,P4648
P4632,P2786
P13,P4020
P4059,P1491
P3239,P1602
P1362,P4726
P3647,P4378
P2279,P1596
P4837,P941
P45,P4153
P3740,P1892
P259,P2818
P4578,P42
P3536,P594
P2312,P2281
P4058,P1171
P2403,P745
P1843,P2202
P197,P2174
P1276,P3008
P800,P71
P148,P1890
P2682,P3354
P3524,P494
P3798,P1815
P4365,P104
P788,P1076
P2847,P2505
P2037,P521
P1514,P4115
P1704,P62
P4515,P1025
P713,P2051
P2703,P3836
P4607,P2522
P4922,P3792
P1685,P215
P2152,P3006
P1077,P4834
P1507,P2999
P362,P4972
P3925,P3142
P1521,P907
P3186,P1907
P2900,P1789
P4369,P4434
P116,P3356
P3585,P94
P822,P4009
P3658,P3880
P4881,P1547
P1397,P132
P3336,P2408
P1986,P2884
P629,P788
P1237,P3703
P3576,P2111
P4985,P3977
P1876,P2370
P3027,P4286
P56,P4235
P3357,P937
P1194,P4273
P315,P2970
P166,P1769
P865,P4501
P2565,P3933
P3291,P915
P2519,P3329
P410,P2343
P4764,P4930
P2157,P454
P2464,P1329
P1270,P2112
P1801,P333
P2925,P1014
P407,P575
P4139,P3045
P731,P4292
P4403,P4093
P4499,P4988
P3534,P2629
P4645,P4373
P2926,P434
P4262,P1754
P2719,P1101
P1505,P2377
P134,P2299
P4834,P3090
P1502,P2295
P4764,P238
P2973,P1150
P4194,P109
P1704,P3392
P2575,P4998
P2585,P2893
P1054,P4970
P3946,P1559
P3206,P4464
P1088,P2438
P1587,P2031
P4713,P4853
P4715,P483
P959,P4989
P244,P4393
P1654,P4316
P3945,P3253
P841,P2798
P4461,P3860
P1134,P2524
P3836,P3014
P1966,P1982
P2435,P4837
P2882,P515
P2237,P1191
P4300,P102
P4176,P4485
P273,P3625
P1810,P2047
P519,P3514
P1779,P1014
P3515,P4172
P341,P3012
P4815,P1450
P3268,P3103
P2899,P3452
P3416,P850
P2821,P2907
P1756,P1674
P667,P3709
P3388,P374
P3926,P327
P3506,P3086
P644,P357
P1843,P1015
P3621,P3181
P3255,P4798
P736,P794
P1313,P4519
P711,P3936
P246,P1735
P4903,P1803
P2276,P3124
P612,P4421
P626,P4125
P518,P1191
P486,P4023
P821,P598
P3371,P4401
P2355,P4160
P2413,P2400
P4082,P894
P1508,P1608
P1586,P2887
P1984,P3809
P2311,P3810
P3486,P576
P1289,P11
P1570,P3980
P570,P2560
P3984,P822
P1924,P2212
P4864,P3381
P4542,P2770
P1263,P228
P4588,P1429
P2526,P1290
P652,P2547
P3252,P3098
P1286,P2716
P2021,P617
P1706,P3954
P3278,P2552
P1545,P2197
P4345,P72
P1084,P828
P3574,P4099
P3555,P4190
P3901,P1463
P1238,P3298
P3372,P4344
P4860,P4754
P1104,P4484
P235,P1136
P4455,P1598
P2224,P4455
P4362,P1392
P4458,P3973
P215,P243
P1930,P2798
P30,P1925
P4132,P4164
P2252,P1860
P3664,P1885
P4041,P1631
P3877,P2267
P2426,P1794
P2036,P91
P1410,P3862
P33,P4314
P398,P3399
P2828,P3160
P2625,P2325
P958,P2427
P2340,P1463
P2048,P2971
P3095,P1932
P4480,P3321
P3279,P307
P2611,P4596
P488,P4990
P3246,P4610
P4829,P3382
P475,P518
P3757,P990
P49,P1871
P2055,P4008
P2031,P2294
P3964,P4768
P4530,P4796
P4874,P341
P37,P2984
P928,P3880
P4311,P2498
P2341,P1280
P4132,P1157
P3411,P1681
P2308,P4621
P2776,P2089
P2423,P744
P4718,P2179
P50,P175
P1923,P379
P2145,P1834
P293,P4659
P2556,P859
P1849,P3329
P1261,P3971
P4949,P2523
P1013,P1303
P3374,P2382
P2887,P1437
P4412,P2837
P3205,P2553
P4170,P1471
P489,P3500
P3730,P311
P355,P1949
P4963,P586
P962,P2374
P4427,P2096
P2967,P4124
P3710,P2883
P1972,P2648
P273,P904
P3970,P393
P2805,P4418
P295,P418
P2942,P4910
P209,P4662
P4218,P2774
P4625,P4506
P4505,P3584
P1582,P3721
P2207,P1165
P3620,P2644
P4112,P438
P4242,P3707
P2664,P4197
P1728,P728
P842,P2556
P1277,P3182
P81,P92
P3640,P2462
P4680,P4643
P125,P2393
P3032,P3841
P1816,P2164
P174,P507
P3353,P4017
P2177,P105
P4451,P4649
P1868,P1162
P891,P1980
P325,P4576
P4675,P4410
P833,P776
P725,P613
P4798,P2389
P3024,P2131
P2894,P141
P3564,P3305
P3612,P1602
P3521,P270
P1357,P1778
P1978,P3061
P1102,P3228
P3564,P1170
P823,P2936
P4039,P4863
P455,P2399
P3575,P4466
P1389,P3501
P3818,P792
P2353,P4191
P925,P567
P2278,P1306
P2737,P3454
P4395,P3325
P4226,P2632
P2032,P4928
P2488,P2544
P953,P2277
P2036,P1546
P1323,P3817
P2818,P2051
P3814,P948
P4951,P323
P909,P4528
P1649,P1738
P847,P3057
P3771,P2817
P3855,P3716
P1642,P1316
P2774,P1729
P2027,P3696
P4451,P2443
P4365,P3480
P3364,P863
P2912,P854
P3260,P2354
P1507,P756
P4609,P197
P3093,P3201
P1182,P4398
P4790,P3820
P4751,P3859
P3519,P3113
P4308,P4888
P165,P4805
P1772,P863
P4389,P4336
P4988,P2594
P943,P3600
P827,P4672
P574,P3162
P4871,P1442
P904,P4642
P1315,P786
P4853,P3148
P1152,P3780
P4126,P229
P2695,P3774
P2852,P2737
P1779,P1864
P968,P373
P4250,P3037
P1807,P1410
P1798,P4613
P206,P4590
P619,P144
P2689,P4423
P1465,P489
P4681,P4619
P695,P2018
P1966,P3311
P850,P391
P778,P1947
P1375,P4524
P1885,P1639
P3410,P676
P3390,P8
P2871,P360
P4238,P3416
P1774,P150
P2744,P1705
P2867,P4390
P1494,P2403
P1523,P932
P4234,P3991
P1860,P3723
P462,P4557
P1349,P2250
P3196,P188
P1617,P2817
P3904,P2704
P1734,P4461
P613,P1616
P3138,P142
P2514,P1653
P491,P4612
P4027,P1217
P4454,P2618
P653,P3424
P3739,P1802
P4079,P2109
P3614,P4331
P233,P1654
P410,P658
P3410,P2019
P4709,P394
P1552,P631
P3630,P1262
P3913,P322
P2180,P2263
P4809,P4221
P1345,P524
P130,P2852
P4094,P1351
P3904,P3542
P754,P4634
P926,P4670
P4863,P349
P2657,P3456
P3528,P3741
P3295,P2143
P2861,P251
P2322,P4045
P3191,P159
P452,P3749
P2338,P1241
P4881,P3293
P2736,P3315
P4127,P1944
P2598,P3285
P4431,P4051
P1857,P299
P858,P1861
P4358,P3067
P134,P3922
P4450,P2268
P515,P1102
P2459,P3855
P4043,P4568
P4359,P46
P4400,P3944
P4773,P4040
P2446,P2554
P4400,P546
P3548,P2996
P4425,P3791
P427,P1624
P4206,P14
P1778,P1456
P3135,P2750
P1515,P1974
P4822,P4222
P2399,P4751
P116,P3619
P1282,P2880
P3845,P3707
P2840,P3583
P3000,P522
P836,P1815
P4656,P977
P3009,P740
P236,P896
P782,P2202
P2801,P2493
P328,P3184
P3619,P4363
P1045,P1312
P1889,P2025
P4096,P665
P140,P168
P818,P1757
P3156,P3105
P1244,P2639
P3474,P1245
P3233,P1484
P4723,P797
P2850,P1255
P188,P1516
P2109,P639
P2861,P3710
P4904,P4980
P1535,P10
P1571,P1711
P2085,P987
P1878,P3829
P2330,P3175
P3785,P2809
P2104,P2305
P1047,P3402
P4370,P3278
P1052,P1180
P1649,P2134
P4333,P3382
P4313,P714
P294,P486
P968,P3307
P2902,P4867
P2071,P4718
P4219,P2571
P4952,P452
P1186,P893
P643,P3194
P3151,P956
P1900,P238
P4013,P2788
P1255,P785
P3281,P3769
P2991,P944
P4514,P3931
P1317,P1574
P3752,P551
P961,P941
P4360,P3088
P2424,P1645
P2918,P2790
P4751,P2551
P4928,P3862
P931,P4426
P2377,P4284
P4052,P4824
P3353,P2947
P827,P4692
P4640,P616
P3050,P1980
P1382,P2402
P1697,P3055
P286,P3388
P1651,P2113
P4167,P394
P4842,P2750
P2724,P868
P319,P2030
P3437,P4201
P2845,P25
P465,P4118
P2624,P1341
P2685,P2812
P2933,P1152
P3938,P227
P1166,P4042
P2095,P1598
P2318,P412
P3694,P1583
P389,P1803
P2341,P988
P682,P4707
P768,P2307
P3705,P4839
P4036,P2291
P3867,P4129
P1331,P1193
P1553,P4279
P4742,P1812
P545,P4745
P4227,P3852
P519,P256
P612,P4270
P2790,P2797
P992,P3876
P153,P4608
P3610,P4957
P3033,P1342
P4924,P4455
P4512,P1544
P1565,P3025
P1450,P3254
P3919,P2084
P2519,P4184
P1533,P1586
P1212,P1205
P4983,P1751
P2778,P3387
P4928,P4298
P650,P2593
P3622,P3240
P1616,P4825
P503,P4191
P3060,P4375
P2776,P2824
P358,P1222
P4561,P499
P481,P3178
P4536,P1071
P2680,P2223
P3967,P1286
P3248,P2310
P4645,P733
P1860,P1531
P2437,P1909
P1179,P350
P3513,P2495
P3104,P711
P1369,P193
P2719,P4077
P969,P3946
P2015,P3298
P1200,P2109
P4641,P1481
P3106,P228
P4715,P4261
P507,P4521
P1924,P1918
P3356,P3624
P4949,P529
P3890,P2755
P3337,P604
P3976,P1195
P1764,P3079
P1347,P3295
P1153,P3443
P3313,P4646
P3496,P3339
P882,P4015
P1713,P908
P1019,P2125
P125,P3335
P4669,P1635
P4372,P4929
P465,P3793
P1526,P901
P945,P9
P2071,P1112
P553,P1860
P5,P274
P3089,P1934
P2268,P482
P2608,P3618
P3415,P4943
P912,P3733
P3315,P4684
P4868,P446
P2441,P2796
P2775,P3454
P802,P2918
P1859,P841
P4116,P3890
P2082,P835
P2581,P4648
P1023,P3573
P4675,P5
P1156,P1302
P3972,P1317
P2771,P2724
P1800,P4829
P756,P4812
P448,P1514
P2124,P4961
P2789,P2685
P2124,P2353
P4138,P2069
P3894,P3259
P4402,P2700
P1304,P4498
P595,P3834
P2051,P3380
P2355,P1395
P3990,P2815
P3787,P215
P6,P4529
P1111,P1217
P4326,P3680
P141,P3809
P4147,P3164
P4121,P3384
P2648,P539
P161,P1367
P2338,P3733
P4647,P1445
P2236,P4741
P1720,P2447
P3928,P3172
P996,P991
P3739,P2230
P2048,P3391
P4367,P3525
P1438,P3911
P1879,P1243
P1235,P1864
P1321,P1413
P208,P500
P355,P3554
P3344,P2163
P2827,P767
P507,P4555
P1242,P3445
P2544,P66
P1754,P877
P4331,P4047
P2814,P1299
P902,P1382
P4997,P3452
P3471,P2382
P3350,P341
P4166,P123
P3695,P2667
P4276,P1932
P365,P3577
P458,P4897
P1642,P1325
P4533,P4481
P914,P4006
P4969,P3751
P3324,P273
P4169,P948
P1620,P4857
P1941,P3099
P3008,P2934
P3572,P2303
P3409,P1220
P3825,P240
P496,P4141
P2806,P767
P972,P4844
P3876,P3516
P3937,P7
P2051,P4530
P1179,P3861
P2038,P1883
P549,P32
P2862,P4507
P4274,P3197
P1519,P1820
P1750,P134
P622,P3979
P1961,P3493
P2206,P2672
P1127,P3246
P4931,P1901
P2681,P315
P1959,P1141
P2453,P17
P1319,P2558
P3880,P1218
P4167,P2152
P519,P3797
P2022,P217
P4534,P2217
P2990,P4198
P3792,P3731
P3113,P2719
P3356,P4
P309,P2618
P3030,P2843
P4156,P4791
P2095,P2669
P1074,P3428
P349,P818
P3513,P4840
P3026,P3105
P2808,P3146
P4462,P3299
P2662,P1878
P4763,P2758
P98,P4219
P3714,P3471
P3958,P2767
P1733,P1913
P4739,P2983
P99,P4287
P3048,P2689
P2939,P1775
P1715,P2361
P2967,P2854
P3138,P3778
P4517,P4787
P412,P3956
P1421,P4862
P506,P4325
P791,P972
P2421,P3673
P1898,P667
P3643,P1018
P3801,P4702
P1855,P3181
P984,P500
P1345,P898
P3711,P4743
P1529,P4915
P944,P3726
P4613,P3182
P4430,P4677
P4033,P556
P2878,P4407
P4338,P864
P4759,P2685
P1557,P1400
P234,P2391
P516,P1553
P386,P3566
P294,P424
P4848,P3507
P2663,P2508
P3455,P2134
P2478,P2642
P4585,P2033
P1637,P4357
P677,P2976
P3394,P4968
P4080,P4275
P2015,P1168
P893,P169
P3196,P656
P1002,P2232
P1942,P2332
P88,P4516
P4125,P55
P4248,P1152
P2236,P3274
P2132,P3056
P1148,P2493
P3429,P2840
P932,P718
P2516,P1954
P3035,P4108
P1987,P413
P1564,P1757
P482,P1673
P3409,P3526
P3628,P3916
P141,P4859
P2190,P1405
P1240,P89
P622,P4952
P4881,P2593
P248,P4233
P534,P2873
P4178,P2934
P4127,P2559
P2545,P4032
P4854,P4829
P4662,P2136
P151,P4312
P3562,P1566
P2128,P2451
P4616,P2921
P1704,P3260
P3203,P918
P1936,P4831
P3900,P3847
P2547,P399
P1792,P2512
P3020,P4633
P669,P4218
P2473,P4827
P4655,P3891
P990,P3538
P264,P2414
P2304,P331
P3220,P3778
P4401,P3564
P162,P2685
P4302,P2026
P3254,P835
P326,P4400
P562,P3662
P4185,P417
P4903,P727
P698,P3473
P4574,P752
P4763,P4811
P3681,P1499
P4325,P4263
P2407,P2823
P585,P1065
P1902,P2393
P1343,P2429
P1966,P4739
P4285,P1397
P2651,P2813
P3927,P1101
P1998,P2648
P888,P514
P1207,P3902
P693,P4581
P4653,P4629
P2374,P209
P2392,P2401
P3088,P562
P3045,P1488
P3616,P4430
P2474,P4870
P4870,P1190
P1387,P734
P1309,P694
P648,P241
P1268,P3821
P357,P1624
P229,P2500
P428,P2116
P4857,P1868
P3301,P170
P1153,P367
P4841,P415
P4440,P3874
P603,P931
P242,P2266
P2241,P3251
P3214,P4541
P2237,P4312
P942,P2015
P1283,P4509
P1179,P180
P79,P4896
P629,P1243
P850,P4818
P3065,P1525
P2333,P3725
P4376,P803
P1329,P2185
P44,P731
P111,P3394
P792,P1679
P3114,P1953
P3463,P2132
P1565,P3186
P576,P3562
P1317,P4391
P1435,P1617
P4223,P153
P253,P1960
P1445,P4274
P648,P3291
P3358,P2231
P1324,P4906
P760,P1216
P3998,P4227
P947,P2412
P2465,P3956
P32,P52
P1769,P465
P1560,P3013
P4687,P19
P3474,P4218
P1246,P2463
P4609,P3455
P2730,P2488
P2428,P121
P1839,P0
P3495,P3407
P4726,P1833
P1008,P4469
P4047,P3769
P4860,P457
P4717,P1023
P165,P3766
P4242,P4887
P3455,P2350
P546,P4154
P811,P296
P2564,P1119
P491,P1831
P2955,P4184
P3738,P446
P3093,P4641
P2872,P2310
P1967,P2231
P4702,P3051
P4570,P2279
P3664,P4593
P1581,P4254
P250,P2224
P759,P2126
P1065,P2259
P1327,P2066
P1869,P2010
P4038,P1823
P3580,P4989
P2066,P1015
P3088,P4280
P4042,P261
P4713,P2891
P2678,P1934
P424,P1845
P3450,P2925
P1833,P127
P262,P4143
P1092,P2031
P3175,P4385
P3546,P1392
P86,P4674
P1337,P4049
P4138,P356
P2394,P4704
P2713,P3156
P530,P4612
P2700,P2607
P1373,P3137
P3342,P123
P3054,P3289
P2051,P3587
P2351,P2488
P3734,P2158
P1470,P4813
P3468,P894
P1555,P536
P487,P722
P12,P884
P4211,P4305
P2882,P4027
P62,P976
P1584,P3212
P1624,P2089
P756,P3888
P4968,P1442
P2273,P3496
P4107,P4775
P2680,P1469
P4212,P1331
P185,P1087
P1740,P1725
P1562,P1987
P3280,P1584
P961,P4096
P872,P2961
P4797,P3611
P897,P2087
P4030,P561
P3226,P1813
P2491,P3130
P4883,P3060
P3067,P2716
P3929,P1274
P3150,P1572
P3692,P3095
P3950,P4132
P475,P2416
P3304,P992
P178,P1584
P4790,P4814
P2685,P3632
P4884,P1597
P3327,P4837
P504,P1330
P828,P2519
P3303,P3177
P389,P3267
P4716,P4051
P2646,P1055
P3081,P3623
P2686,P496
P1530,P1364
P4024,P3280
P4032,P4923
P1605,P1303
P3463,P355
P4815,P1460
P546,P1414
P1858,P259
P3736,P338
P2260,P3640
P3467,P1860
P3894,P4472
P3931,P918
P544,P1948
P4536,P3247
P895,P4361
P2933,P1495
P856,P1776
P4480,P2444
P2231,P4501
P638,P968
P3115,P994
P3967,P2405
P3472,P1049
P2323,P4289
P1864,P2464
P2379,P3631
P2090,P4230
P3404,P823
P3054,P1579
P4947,P2213
P3923,P619
P2345,P2307
P4705,P1939
P1757,P3120
P4203,P3259
P1069,P505
P4367,P3547
P2708,P2544
P491,P3761
P2037,P2083
P2608,P2634
P53,P2020
P159,P2986
